Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.4611E-06,0.00013754,0.051189,0,0,0,17.206,1.1941,0.003952,9.5899E-05,1.1576,0.078153,0.21746,0,0,0,0,0,0,package://robot_liuzu/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_liuzu/meshes/base_link.STL,,fuselage-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lb_link1,-0.038541,0.022331,-0.054879,0,0,0,2.478,0.017127,-0.004201,0.009585,0.021963,-0.0056509,0.011444,0,0,0,0,0,0,package://robot_liuzu/meshes/lb_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_liuzu/meshes/lb_link1.STL,,body_lb-2,bodycs_lb,bodyax_lb,body_lb,revolute,0.0499999999999999,0.34,-0.021,0,0,0,base_link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
lb_link2,0.033669,-0.033086,-0.002815,0,0,0,1.658,0.0034925,-1.7485E-05,-0.000732,0.013323,2.067E-06,0.015288,0,0,0,0,0,0,package://robot_liuzu/meshes/lb_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_liuzu/meshes/lb_link2.STL,,thigh_lb-2,thighcs_lb,thighax_lb,thigh_lb,revolute,0.075728,0.0068868,-0.05,0,0,0,lb_link1,0,1,0,0,0,-1.57,1.57,,,,,,,,
lb_link_3,-0.15658,0,-0.011782,0,0,0,0.331,0.00011902,5E-09,0.00064146,0.011147,1E-09,0.011069,0,0,0,0,0,0,package://robot_liuzu/meshes/lb_link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_liuzu/meshes/lb_link_3.STL,,xiaotui_lb-2,shankcs_lb,shankax_lb,shank_lb,revolute,0.25869,-0.0068868,-0.094056,0,0,0,lb_link2,0,1,0,0,0,-1.57,1.57,,,,,,,,
lm_link1,-0.038541,0.022331,-0.054879,0,0,0,2.478,0.017127,-0.004201,0.009585,0.021963,-0.0056509,0.011444,0,0,0,0,0,0,package://robot_liuzu/meshes/lm_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_liuzu/meshes/lm_link1.STL,,body_lm-1,bodycs_lm,bodyax_lm,body_lm,revolute,0.0499999999999999,0,-0.021,0,0,0,base_link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
lm_link2,0.033669,-0.033086,-0.002815,0,0,0,1.658,0.0034925,-1.7485E-05,-0.000732,0.013323,2.067E-06,0.015288,0,0,0,0,0,0,package://robot_liuzu/meshes/lm_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_liuzu/meshes/lm_link2.STL,,thigh_lm-1,thighcs_lm,thighax_lm,thigh_lm,revolute,0.076,0,-0.05,0,0,0,lm_link1,0,1,0,0,0,-1.57,1.57,,,,,,,,
lm_link3,-0.15658,0,-0.011782,0,0,0,0.331,0.00011902,5E-09,0.00064146,0.011147,1E-09,0.011069,0,0,0,0,0,0,package://robot_liuzu/meshes/lm_link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_liuzu/meshes/lm_link3.STL,,xiaotui_lm-1,shankcs_lm,shankax_lm,shank_lm,revolute,0.258415470716125,0,-0.094055539414559,0,0,0,lm_link2,0,1,0,0,0,-1.57,1.57,,,,,,,,
lf_link1,-0.038541,0.022331,-0.054879,0,0,0,2.478,0.017127,-0.004201,0.009585,0.021963,-0.0056509,0.011444,0,0,0,0,0,0,package://robot_liuzu/meshes/lf_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_liuzu/meshes/lf_link1.STL,,body_lf-1,bodycs_lf,bodyax_lf,body_lf,revolute,0.05,-0.34,-0.021,0,0,0,base_link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
lf_link2,0.033669,-0.033086,-0.002815,0,0,0,1.658,0.0034925,-1.7485E-05,-0.000732,0.013323,2.067E-06,0.015288,0,0,0,0,0,0,package://robot_liuzu/meshes/lf_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_liuzu/meshes/lf_link2.STL,,thigh_lf-1,thighcs_lf,thighax_lf,thigh_lf,revolute,0.076,0,-0.05,0,0,0,lf_link1,0,1,0,0,0,-1.57,1.57,,,,,,,,
lf_link3,-0.15658,0,-0.011782,0,0,0,0.331,0.00011902,5E-09,0.00064146,0.011147,1E-09,0.011069,0,0,0,0,0,0,package://robot_liuzu/meshes/lf_link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_liuzu/meshes/lf_link3.STL,,xiaotui_lf-1,shankcs_lf,shankax_lf,shank_lf,revolute,0.258415470716125,0,-0.094055539414559,0,0,0,lf_link2,0,-1,0,0,0,-1.57,1.57,,,,,,,,
rf_link1,0.022331,-0.038541,-0.054879,0,0,0,2.478,0.021963,-0.0042012,-0.005651,0.017127,0.009585,0.011444,0,0,0,0,0,0,package://robot_liuzu/meshes/rf_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_liuzu/meshes/rf_link1.STL,,body_rf-1,bodycs_rf,bodyax_rf,body_rf,revolute,-0.05,-0.34,-0.021,0,0,0,base_link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
