Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.46108995875164E-06,0.051188804105788,-0.000137539896622166,0,0,0,3.67349717771553,0.173966458817694,-3.03137671653759E-08,2.33262035089775E-06,0.185469512654219,3.49228963968594E-06,0.0136702984773865,0,0,0,0,0,0,package://robot_hexapod/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_hexapod/meshes/base_link.STL,,fuselage-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lb_link1,0.038794,-0.021772,-0.0023024,0,0,0,0.62516,0.00043581,2.4123E-05,4.5244E-05,0.00057762,-1.333E-05,0.00053065,0,0,0,0,0,0,package://robot_hexapod/meshes/lb_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_hexapod/meshes/lb_link1.STL,,body_lb-2,bodycs_lb,bodyax_lb,body_lb,revolute,0.05,0.34,-0.021,0,0,0,base_link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
lb_link2,0.043848,0.01982,-0.0082235,0,0,0,0.46795,0.00041203,1.5139E-05,0.00048909,0.0026296,-2.926E-06,0.0023888,0,0,0,0,0,0,package://robot_hexapod/meshes/lb_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_hexapod/meshes/lb_link2.STL,,thigh_lb-2,thighcs_lb,thighax_lb,thigh_lb,revolute,0.075728,0.0068868,-0.05,0,0,0,lb_link1,0,1,0,0,0,-1.57,1.57,,,,,,,,
lb_link_3,0.0024767,-1.1784E-06,-0.17513,0,0,0,0.13621,0.00052953,-1.4767E-09,3.901E-05,0.00053577,1.6182E-08,2.4831E-05,0,0,0,0,0,0,package://robot_hexapod/meshes/lb_link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_hexapod/meshes/lb_link_3.STL,,xiaotui_lb-2,shankcs_lb,shankax_lb,shank_lb,revolute,0.26531,-0.0068868,-0.073333,0,0,0,lb_link2,0,1,0,0,0,-1.57,1.57,,,,,,,,
lm_link1,0.038794,-0.021772,-0.0023024,0,0,0,0.62516,0.00043581,2.4123E-05,4.5244E-05,0.00057762,-1.333E-05,0.00053065,0,0,0,0,0,0,package://robot_hexapod/meshes/lm_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_hexapod/meshes/lm_link1.STL,,body_lm-1,bodycs_lm,bodyax_lm,body_lm,revolute,0.05,0,-0.021,0,0,0,base_link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
lm_link2,0.043575,0.026707,-0.0082235,0,0,0,0.46795,0.00041203,1.5139E-05,0.00048909,0.0026296,-2.926E-06,0.0023888,0,0,0,0,0,0,package://robot_hexapod/meshes/lm_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_hexapod/meshes/lm_link2.STL,,thigh_lm-1,thighcs_lm,thighax_lm,thigh_lm,revolute,0.076,0,-0.05,0,0,0,lm_link1,0,1,0,0,0,-1.57,1.57,,,,,,,,
lm_link3,0.0024767,-1.1784E-06,-0.17513,0,0,0,0.13621,0.00052953,-1.4767E-09,3.901E-05,0.00053577,1.6182E-08,2.4831E-05,0,0,0,0,0,0,package://robot_hexapod/meshes/lm_link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_hexapod/meshes/lm_link3.STL,,xiaotui_lm-1,shankcs_lm,shankax_lm,shank_lm,revolute,0.26504,0,-0.073333,0,0,0,lm_link2,0,1,0,0,0,-1.57,1.57,,,,,,,,
lf_link1,0.038794,-0.021772,-0.0023024,0,0,0,0.62516,0.00043581,2.4123E-05,4.5244E-05,0.00057762,-1.333E-05,0.00053065,0,0,0,0,0,0,package://robot_hexapod/meshes/lf_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_hexapod/meshes/lf_link1.STL,,body_lf-1,bodycs_lf,bodyax_lf,body_lf,revolute,0.05,-0.34,-0.021,0,0,0,base_link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
lf_link2,0.043575,0.026707,-0.0082235,0,0,0,0.46795,0.00041203,1.5139E-05,0.00048909,0.0026296,-2.926E-06,0.0023888,0,0,0,0,0,0,package://robot_hexapod/meshes/lf_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_hexapod/meshes/lf_link2.STL,,thigh_lf-1,thighcs_lf,thighax_lf,thigh_lf,revolute,0.076,0,-0.05,0,0,0,lf_link1,0,1,0,0,0,-1.57,1.57,,,,,,,,
lf_link3,0.0024767,-1.1784E-06,-0.17513,0,0,0,0.13621,0.00052953,-1.4767E-09,3.901E-05,0.00053577,1.6182E-08,2.4831E-05,0,0,0,0,0,0,package://robot_hexapod/meshes/lf_link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_hexapod/meshes/lf_link3.STL,,xiaotui_lf-1,shankcs_lf,shankax_lf,shank_lf,revolute,0.26504,0,-0.073333,0,0,0,lf_link2,0,-1,0,0,0,-1.57,1.57,,,,,,,,
